component,explained_variance_ratio,cumulative_variance_ratio
282,0.0006178903731789942,0.8483518500530506
283,0.0006124762294518639,0.8489643262825024
284,0.0006108002077547107,0.8495751264902571
285,0.0006099124607431252,0.8501850389510003
286,0.0006060000789479554,0.8507910390299482
287,0.0006038227445331114,0.8513948617744813
288,0.0006019044309636505,0.851996766205445
289,0.0005961959214391014,0.8525929621268841
290,0.0005943293703393898,0.8531872914972235
291,0.0005931327948978717,0.8537804242921214
292,0.0005901754901763672,0.8543705997822978
293,0.0005873468259428557,0.8549579466082406
294,0.0005836472732617944,0.8555415938815024
295,0.0005831677352563123,0.8561247616167588
296,0.0005809289298787869,0.8567056905466376
297,0.0005776090202728047,0.8572832995669104
298,0.0005751263201742583,0.8578584258870847
299,0.000573661210402712,0.8584320870974874
300,0.0005707936701119673,0.8590028807675993
301,0.0005693526718681348,0.8595722334394674
302,0.0005664869226881976,0.8601387203621557
303,0.0005648693283893178,0.860703589690545
304,0.000563527988772283,0.8612671176793172
305,0.0005597947359789876,0.8618269124152962
306,0.0005560157791725261,0.8623829281944687
307,0.0005520777320235322,0.8629350059264922
308,0.0005510606133103915,0.8634860665398025
309,0.000549293372081011,0.8640353599118835
310,0.0005452263366441296,0.8645805862485276
311,0.000542435395668725,0.8651230216441963
312,0.0005419299219222086,0.8656649515661186
313,0.0005409182801899864,0.8662058698463085
314,0.0005369889082228177,0.8667428587545314
315,0.0005353672622733613,0.8672782260168047
316,0.0005331170883069918,0.8678113431051117
317,0.0005293275568031318,0.8683406706619148
318,0.0005279952746043471,0.8688686659365191
319,0.0005249472814859858,0.8693936132180051
320,0.0005207242847702931,0.8699143375027755
321,0.000520064777114034,0.8704344022798896
322,0.0005174490318529547,0.8709518513117425
323,0.000515765994127516,0.87146761730587
324,0.0005140263865573224,0.8719816436924273
325,0.0005116620818580004,0.8724933057742853
326,0.0005088271197897934,0.8730021328940751
327,0.0005078789571200555,0.8735100118511951
328,0.0005060760395721457,0.8740160878907673
329,0.0005045209937094974,0.8745206088844768
330,0.0005017848384526272,0.8750223937229294
331,0.0004985777872331872,0.8755209715101626
332,0.0004963409462063068,0.8760173124563689
333,0.0004948105157142719,0.8765121229720833
334,0.0004936134509357214,0.8770057364230189
335,0.000491560021331589,0.8774972964443505
336,0.0004871494142313597,0.8779844458585818
337,0.00048404773050540577,0.8784684935890872
338,0.0004826019821053124,0.8789510955711924
339,0.0004813191132150268,0.8794324146844075
